id,year,code,title,totemp
75,2015,611000,Educational Services,12861660
76,2015,621000,Ambulatory Health Care Services,6789270
77,2015,622000,Hospitals,5755150
78,2015,623000,Nursing and Residential Care Facilities,3287610
79,2015,624000,Social Assistance,2906810
80,2015,711000,"Performing Arts, Spectator Sports, and Related Industries",458260
81,2015,712000,"Museums, Historical Sites, and Similar Institutions",151350
82,2015,713000,"Amusement, Gambling, and Recreation Industries",1633640
83,2015,721000,Accommodation,1959750
84,2015,722000,Food Services and Drinking Places,10962800
85,2015,811000,Repair and Maintenance,1267070
86,2015,812000,Personal and Laundry Services,1398420
87,2015,813000,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1344600
88,2015,999000,"Federal, State, and Local Government (excluding state and local schools and hospitals)",9547400
89,2014,113000,Forestry and Logging,50910
90,2014,115000,Support Activities for Agriculture and Forestry,358810
91,2014,211000,Oil and Gas Extraction,192290
92,2014,212000,Mining (except Oil and Gas),211710
93,2014,213000,Support Activities for Mining,420250
94,2014,221000,Utilities,547980
95,2014,236000,Construction of Buildings,1331770
96,2014,237000,Heavy and Civil Engineering Construction,917320
97,2014,238000,Specialty Trade Contractors,3844990
98,2014,311000,Food Manufacturing,1476950
99,2014,312000,Beverage and Tobacco Product Manufacturing,207160
100,2014,313000,Textile Mills,115900
101,2014,314000,Textile Product Mills,115490
102,2014,315000,Apparel Manufacturing,142860
103,2014,316000,Leather and Allied Product Manufacturing,28440
104,2014,321000,Wood Product Manufacturing,366800
105,2014,322000,Paper Manufacturing,373740
106,2014,323000,Printing and Related Support Activities,455860
107,2014,324000,Petroleum and Coal Products Manufacturing,110180
108,2014,325000,Chemical Manufacturing,789010
109,2014,326000,Plastics and Rubber Products Manufacturing,667270
110,2014,327000,Nonmetallic Mineral Product Manufacturing,382880
111,2014,331000,Primary Metal Manufacturing,394570
112,2014,332000,Fabricated Metal Product Manufacturing,1442080
113,2014,333000,Machinery Manufacturing,1113630
114,2014,334000,Computer and Electronic Product Manufacturing,1046180
115,2014,335000,"Electrical Equipment, Appliance, and Component Manufacturing",375810
116,2014,336000,Transportation Equipment Manufacturing,1545110
117,2014,337000,Furniture and Related Product Manufacturing,366220
118,2014,339000,Miscellaneous Manufacturing,584630
119,2014,423000,"Merchant Wholesalers, Durable Goods",2892140
120,2014,424000,"Merchant Wholesalers, Nondurable Goods",2010320
121,2014,425000,Wholesale Electronic Markets and Agents and Brokers,877610
122,2014,441000,Motor Vehicle and Parts Dealers,1839640
123,2014,442000,Furniture and Home Furnishings Stores,458880
124,2014,443000,Electronics and Appliance Stores,491340
125,2014,444000,Building Material and Garden Equipment and Supplies Dealers,1239320
126,2014,445000,Food and Beverage Stores,2987240
127,2014,446000,Health and Personal Care Stores,1020430
128,2014,447000,Gasoline Stations,876850
129,2014,448000,Clothing and Clothing Accessories Stores,1425380
130,2014,451000,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",630400
131,2014,452000,General Merchandise Stores,3187350
132,2014,453000,Miscellaneous Store Retailers,826680
133,2014,454000,Nonstore Retailers,488980
134,2014,481000,Air Transportation,444880
135,2014,482000,Rail Transportation,223690
136,2014,483000,Water Transportation,66880
137,2014,484000,Truck Transportation,1401960
138,2014,485000,Transit and Ground Passenger Transportation,472280
139,2014,486000,Pipeline Transportation,46810
140,2014,487000,Scenic and Sightseeing Transportation,29880
141,2014,488000,Support Activities for Transportation,613410
142,2014,491000,Postal Service,613060
143,2014,492000,Couriers and Messengers,563140
144,2014,493000,Warehousing and Storage,726640
145,2014,511000,Publishing Industries (except Internet),724400
146,2014,512000,Motion Picture and Sound Recording Industries,393510
147,2014,515000,Broadcasting (except Internet),284840
148,2014,517000,Telecommunications,850510
149,2014,518000,"Data Processing, Hosting, and Related Services",274250
150,2014,519000,Other Information Services,208080
151,2014,521000,Monetary Authorities-Central Bank,**
152,2014,522000,Credit Intermediation and Related Activities,2558050
153,2014,523000,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",874820
154,2014,524000,Insurance Carriers and Related Activities,2154010
155,2014,531000,Real Estate,1469950
156,2014,532000,Rental and Leasing Services,524810
157,2014,533000,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),23210
158,2014,541000,"Professional, Scientific, and Technical Services",8231540
159,2014,551000,Management of Companies and Enterprises,2206620
160,2014,561000,Administrative and Support Services,8242670
161,2014,562000,Waste Management and Remediation Services,384650
162,2014,611000,Educational Services,12758610
163,2014,621000,Ambulatory Health Care Services,6594630
164,2014,622000,Hospitals,5721480
165,2014,623000,Nursing and Residential Care Facilities,3257890
166,2014,624000,Social Assistance,2767690
167,2014,711000,"Performing Arts, Spectator Sports, and Related Industries",449640
168,2014,712000,"Museums, Historical Sites, and Similar Institutions",146020
169,2014,713000,"Amusement, Gambling, and Recreation Industries",1602930
170,2014,721000,Accommodation,1923810
171,2014,722000,Food Services and Drinking Places,10624850
172,2014,811000,Repair and Maintenance,1234680
173,2014,812000,Personal and Laundry Services,1370260
174,2014,813000,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1333060
175,2014,999000,"Federal, State, and Local Government (excluding state and local schools and hospitals)",9472980
176,2013,113000,Forestry and Logging,49830
177,2013,115000,Support Activities for Agriculture and Forestry,354210
178,2013,211000,Oil and Gas Extraction,192650
179,2013,212000,Mining (except Oil and Gas),215370
180,2013,213000,Support Activities for Mining,399110
181,2013,221000,Utilities,544310
182,2013,236000,Construction of Buildings,1262130
183,2013,237000,Heavy and Civil Engineering Construction,887480
184,2013,238000,Specialty Trade Contractors,3647560
185,2013,311000,Food Manufacturing,1461620
186,2013,312000,Beverage and Tobacco Product Manufacturing,196940
187,2013,313000,Textile Mills,116450
188,2013,314000,Textile Product Mills,115720
189,2013,315000,Apparel Manufacturing,144410
190,2013,316000,Leather and Allied Product Manufacturing,28900
191,2013,321000,Wood Product Manufacturing,348910
192,2013,322000,Paper Manufacturing,376410
193,2013,323000,Printing and Related Support Activities,456510
194,2013,324000,Petroleum and Coal Products Manufacturing,111240
195,2013,325000,Chemical Manufacturing,792030
196,2013,326000,Plastics and Rubber Products Manufacturing,656530
197,2013,327000,Nonmetallic Mineral Product Manufacturing,374680
198,2013,331000,Primary Metal Manufacturing,395420
199,2013,332000,Fabricated Metal Product Manufacturing,1423370
200,2013,333000,Machinery Manufacturing,1104520
201,2013,334000,Computer and Electronic Product Manufacturing,1066280
202,2013,335000,"Electrical Equipment, Appliance, and Component Manufacturing",373290
203,2013,336000,Transportation Equipment Manufacturing,1504530
204,2013,337000,Furniture and Related Product Manufacturing,355320
205,2013,339000,Miscellaneous Manufacturing,580200
206,2013,423000,"Merchant Wholesalers, Durable Goods",2851180
207,2013,424000,"Merchant Wholesalers, Nondurable Goods",1985180
208,2013,425000,Wholesale Electronic Markets and Agents and Brokers,865280
209,2013,441000,Motor Vehicle and Parts Dealers,1768480
210,2013,442000,Furniture and Home Furnishings Stores,448810
211,2013,443000,Electronics and Appliance Stores,495900
212,2013,444000,Building Material and Garden Equipment and Supplies Dealers,1192090
213,2013,445000,Food and Beverage Stores,2916010
214,2013,446000,Health and Personal Care Stores,1020090
215,2013,447000,Gasoline Stations,856170
216,2013,448000,Clothing and Clothing Accessories Stores,1449390
217,2013,451000,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",611620
218,2013,452000,General Merchandise Stores,3164310
219,2013,453000,Miscellaneous Store Retailers,810580
220,2013,454000,Nonstore Retailers,462510
221,2013,481000,Air Transportation,453230
222,2013,482000,Rail Transportation,223680
223,2013,483000,Water Transportation,66330
224,2013,484000,Truck Transportation,1367540
225,2013,485000,Transit and Ground Passenger Transportation,459580
226,2013,486000,Pipeline Transportation,43280
227,2013,487000,Scenic and Sightseeing Transportation,28550
228,2013,488000,Support Activities for Transportation,589880
229,2013,491000,Postal Service,613060
230,2013,492000,Couriers and Messengers,528660
231,2013,493000,Warehousing and Storage,707720
232,2013,511000,Publishing Industries (except Internet),728090
233,2013,512000,Motion Picture and Sound Recording Industries,392440
234,2013,515000,Broadcasting (except Internet),287000
235,2013,517000,Telecommunications,841080
236,2013,518000,"Data Processing, Hosting, and Related Services",263440
237,2013,519000,Other Information Services,188170
238,2013,521000,Monetary Authorities-Central Bank,16940
239,2013,522000,Credit Intermediation and Related Activities,2593710
240,2013,523000,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",851330
241,2013,524000,Insurance Carriers and Related Activities,2108120
242,2013,525000,"Funds, Trusts, and Other Financial Vehicles",16690
243,2013,531000,Real Estate,1430560
244,2013,532000,Rental and Leasing Services,512420
245,2013,533000,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),23500
246,2013,541000,"Professional, Scientific, and Technical Services",8018890
247,2013,551000,Management of Companies and Enterprises,2130720
248,2013,561000,Administrative and Support Services,7909150
249,2013,562000,Waste Management and Remediation Services,376610
250,2013,611000,Educational Services,12706550
251,2013,621000,Ambulatory Health Care Services,6424110
252,2013,622000,Hospitals,5739780
253,2013,623000,Nursing and Residential Care Facilities,3220290
254,2013,624000,Social Assistance,2674920
255,2013,711000,"Performing Arts, Spectator Sports, and Related Industries",425940
256,2013,712000,"Museums, Historical Sites, and Similar Institutions",139640
257,2013,713000,"Amusement, Gambling, and Recreation Industries",1425940
258,2013,721000,Accommodation,1831850
259,2013,722000,Food Services and Drinking Places,10249270
260,2013,811000,Repair and Maintenance,1206110
261,2013,812000,Personal and Laundry Services,1339710
262,2013,813000,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1319590
263,2013,999000,"Federal, State, and Local Government (excluding state and local schools and hospitals)",9681240
264,2012,113000,Forestry and Logging,48930
265,2012,115000,Support Activities for Agriculture and Forestry,344910
266,2012,211000,Oil and Gas Extraction,181580
267,2012,212000,Mining (except Oil and Gas),221680
268,2012,213000,Support Activities for Mining,379850
269,2012,221000,Utilities,552750
270,2012,236000,Construction of Buildings,1226290
271,2012,237000,Heavy and Civil Engineering Construction,865400
272,2012,238000,Specialty Trade Contractors,3520270
273,2012,311000,Food Manufacturing,1459000
274,2012,312000,Beverage and Tobacco Product Manufacturing,189440
275,2012,313000,Textile Mills,117650
276,2012,314000,Textile Product Mills,117850
277,2012,315000,Apparel Manufacturing,149740
278,2012,316000,Leather and Allied Product Manufacturing,28860
279,2012,321000,Wood Product Manufacturing,338610
280,2012,322000,Paper Manufacturing,381790
281,2012,323000,Printing and Related Support Activities,465190
282,2012,324000,Petroleum and Coal Products Manufacturing,111050
283,2012,325000,Chemical Manufacturing,783650
284,2012,326000,Plastics and Rubber Products Manufacturing,641400
285,2012,327000,Nonmetallic Mineral Product Manufacturing,369560
286,2012,331000,Primary Metal Manufacturing,399470
287,2012,332000,Fabricated Metal Product Manufacturing,1390710
288,2012,333000,Machinery Manufacturing,1088860
289,2012,334000,Computer and Electronic Product Manufacturing,1098660
290,2012,335000,"Electrical Equipment, Appliance, and Component Manufacturing",371180
291,2012,336000,Transportation Equipment Manufacturing,1435220
292,2012,337000,Furniture and Related Product Manufacturing,350100
293,2012,339000,Miscellaneous Manufacturing,578560
294,2012,423000,"Merchant Wholesalers, Durable Goods",2806140
295,2012,424000,"Merchant Wholesalers, Nondurable Goods",1960300
296,2012,425000,Wholesale Electronic Markets and Agents and Brokers,857070
297,2012,441000,Motor Vehicle and Parts Dealers,1720060
298,2012,442000,Furniture and Home Furnishings Stores,442510
299,2012,443000,Electronics and Appliance Stores,516000
300,2012,444000,Building Material and Garden Equipment and Supplies Dealers,1172370
301,2012,445000,Food and Beverage Stores,2855560
302,2012,446000,Health and Personal Care Stores,1001440
303,2012,447000,Gasoline Stations,836350
304,2012,448000,Clothing and Clothing Accessories Stores,1414070
305,2012,451000,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",596950
306,2012,452000,General Merchandise Stores,3182140
307,2012,453000,Miscellaneous Store Retailers,800660
308,2012,454000,Nonstore Retailers,444610
309,2012,481000,Air Transportation,458910
310,2012,482000,Rail Transportation,224530
311,2012,483000,Water Transportation,63910
312,2012,484000,Truck Transportation,1334150
313,2012,485000,Transit and Ground Passenger Transportation,453620
314,2012,486000,Pipeline Transportation,43310
315,2012,487000,Scenic and Sightseeing Transportation,27410
316,2012,488000,Support Activities for Transportation,571620
317,2012,491000,Postal Service,632820
318,2012,492000,Couriers and Messengers,526290
319,2012,493000,Warehousing and Storage,678100
320,2012,511000,Publishing Industries (except Internet),744290
321,2012,512000,Motion Picture and Sound Recording Industries,374620
322,2012,515000,Broadcasting (except Internet),288380
323,2012,517000,Telecommunications,860660
324,2012,518000,"Data Processing, Hosting, and Related Services",250540
325,2012,519000,Other Information Services,169890
326,2012,521000,Monetary Authorities-Central Bank,16590
327,2012,522000,Credit Intermediation and Related Activities,2560400
328,2012,523000,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",816040
329,2012,524000,Insurance Carriers and Related Activities,2056840
330,2012,525000,"Funds, Trusts, and Other Financial Vehicles",85130
331,2012,531000,Real Estate,1397290
332,2012,532000,Rental and Leasing Services,507590
333,2012,533000,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),24070
334,2012,541000,"Professional, Scientific, and Technical Services",7768610
335,2012,551000,Management of Companies and Enterprises,2003680
336,2012,561000,Administrative and Support Services,7619090
337,2012,562000,Waste Management and Remediation Services,372170
338,2012,611000,Educational Services,12683810
339,2012,621000,Ambulatory Health Care Services,6259940
340,2012,622000,Hospitals,5700220
341,2012,623000,Nursing and Residential Care Facilities,3180240
342,2012,624000,Social Assistance,2579700
343,2012,711000,"Performing Arts, Spectator Sports, and Related Industries",415770
344,2012,712000,"Museums, Historical Sites, and Similar Institutions",135650
345,2012,713000,"Amusement, Gambling, and Recreation Industries",1386490
346,2012,721000,Accommodation,1799000
347,2012,722000,Food Services and Drinking Places,9876540
348,2012,811000,Repair and Maintenance,1184890
349,2012,812000,Personal and Laundry Services,1309970
350,2012,813000,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1314540
351,2012,999000,"Federal, State, and Local Government (excluding state and local schools and hospitals)",9716010
352,2011,113000,Forestry and Logging,48600
353,2011,115000,Support Activities for Agriculture and Forestry,322580
354,2011,211000,Oil and Gas Extraction,162570
355,2011,212000,Mining (except Oil and Gas),211210
356,2011,213000,Support Activities for Mining,319610
357,2011,221000,Utilities,551510
358,2011,236000,Construction of Buildings,1227540
359,2011,237000,Heavy and Civil Engineering Construction,838740
360,2011,238000,Specialty Trade Contractors,3477510
361,2011,311000,Food Manufacturing,1446400
362,2011,312000,Beverage and Tobacco Product Manufacturing,183900
363,2011,313000,Textile Mills,118420
364,2011,314000,Textile Product Mills,119410
365,2011,315000,Apparel Manufacturing,152280
366,2011,316000,Leather and Allied Product Manufacturing,28580
367,2011,321000,Wood Product Manufacturing,338740
368,2011,322000,Paper Manufacturing,389540
369,2011,323000,Printing and Related Support Activities,478970
370,2011,324000,Petroleum and Coal Products Manufacturing,110490
371,2011,325000,Chemical Manufacturing,772220
372,2011,326000,Plastics and Rubber Products Manufacturing,633920
373,2011,327000,Nonmetallic Mineral Product Manufacturing,369250
374,2011,331000,Primary Metal Manufacturing,375930
375,2011,332000,Fabricated Metal Product Manufacturing,1320180
376,2011,333000,Machinery Manufacturing,1028270
377,2011,334000,Computer and Electronic Product Manufacturing,1098420
378,2011,335000,"Electrical Equipment, Appliance, and Component Manufacturing",362690
379,2011,336000,Transportation Equipment Manufacturing,1355570
380,2011,337000,Furniture and Related Product Manufacturing,351630
381,2011,339000,Miscellaneous Manufacturing,571730
382,2011,423000,"Merchant Wholesalers, Durable Goods",2754790
383,2011,424000,"Merchant Wholesalers, Nondurable Goods",1949070
384,2011,425000,Wholesale Electronic Markets and Agents and Brokers,834360
385,2011,441000,Motor Vehicle and Parts Dealers,1671140
386,2011,442000,Furniture and Home Furnishings Stores,441910
387,2011,443000,Electronics and Appliance Stores,512740
388,2011,444000,Building Material and Garden Equipment and Supplies Dealers,1160950
389,2011,445000,Food and Beverage Stores,2828710
390,2011,446000,Health and Personal Care Stores,989930
391,2011,447000,Gasoline Stations,822710
392,2011,448000,Clothing and Clothing Accessories Stores,1433880
393,2011,451000,"Sporting Goods, Hobby, Book, and Music Stores",619930
394,2011,452000,General Merchandise Stores,3076210
395,2011,453000,Miscellaneous Store Retailers,787880
396,2011,454000,Nonstore Retailers,427230
397,2011,481000,Air Transportation,450920
398,2011,482000,Rail Transportation,227400
399,2011,483000,Water Transportation,60970
400,2011,484000,Truck Transportation,1290070
401,2011,485000,Transit and Ground Passenger Transportation,445820
402,2011,486000,Pipeline Transportation,42810
403,2011,487000,Scenic and Sightseeing Transportation,26570
404,2011,488000,Support Activities for Transportation,563060
405,2011,491000,Postal Service,648350
406,2011,492000,Couriers and Messengers,522990
407,2011,493000,Warehousing and Storage,646050
408,2011,511000,Publishing Industries (except Internet),747940
409,2011,512000,Motion Picture and Sound Recording Industries,368820
410,2011,515000,Broadcasting (except Internet),291150
411,2011,517000,Telecommunications,890300
412,2011,518000,"Data Processing, Hosting and Related Services",238990
413,2011,519000,Other Information Services,149010
414,2011,521000,Monetary Authorities-Central Bank,19840
415,2011,522000,Credit Intermediation and Related Activities,2534220
416,2011,523000,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",812780
417,2011,524000,Insurance Carriers and Related Activities,2038710
418,2011,525000,"Funds, Trusts, and Other Financial Vehicles",82990
419,2011,531000,Real Estate,1384620
420,2011,532000,Rental and Leasing Services,499790
421,2011,533000,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),24500
422,2011,541000,"Professional, Scientific, and Technical Services",7546400
423,2011,551000,Management of Companies and Enterprises,1905510
424,2011,561000,Administrative and Support Services,7362290
425,2011,562000,Waste Management and Remediation Services,362030
426,2011,611000,Educational Services,12747270
427,2011,621000,Ambulatory Health Care Services,6092330
428,2011,622000,Hospitals,5648820
429,2011,623000,Nursing and Residential Care Facilities,3157810
430,2011,624000,Social Assistance,2529260
431,2011,711000,"Performing Arts, Spectator Sports, and Related Industries",403900
432,2011,712000,"Museums, Historical Sites, and Similar Institutions",130110
433,2011,713000,"Amusement, Gambling, and Recreation Industries",1359340
434,2011,721000,Accommodation,1755990
435,2011,722000,Food Services and Drinking Places,9572310
436,2011,811000,Repair and Maintenance,1158800
437,2011,812000,Personal and Laundry Services,1284500
438,2011,813000,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1313480
439,2011,999000,"Federal, State, and Local Government (excluding state and local schools and hospitals)",9861710
440,2010,113000,Forestry and Logging,49070
441,2010,115000,Support Activities for Agriculture and Forestry,319330
442,2010,211000,Oil and Gas Extraction,154980
443,2010,212000,Mining (except Oil and Gas),204270
444,2010,213000,Support Activities for Mining,266340
445,2010,221000,Utilities,550680
446,2010,236000,Construction of Buildings,1255600
447,2010,237000,Heavy and Civil Engineering Construction,840680
448,2010,238000,Specialty Trade Contractors,3566700
449,2010,311000,Food Manufacturing,1445100
450,2010,312000,Beverage and Tobacco Product Manufacturing,183350
451,2010,313000,Textile Mills,116490
452,2010,314000,Textile Product Mills,121910
453,2010,315000,Apparel Manufacturing,157800
454,2010,316000,Leather and Allied Product Manufacturing,27890
455,2010,321000,Wood Product Manufacturing,345110
456,2010,322000,Paper Manufacturing,393540
457,2010,323000,Printing and Related Support Activities,494800
458,2010,324000,Petroleum and Coal Products Manufacturing,111960
459,2010,325000,Chemical Manufacturing,792830
460,2010,326000,Plastics and Rubber Products Manufacturing,621500
461,2010,327000,Nonmetallic Mineral Product Manufacturing,379160
462,2010,331000,Primary Metal Manufacturing,355230
463,2010,332000,Fabricated Metal Product Manufacturing,1264990
464,2010,333000,Machinery Manufacturing,980900
465,2010,334000,Computer and Electronic Product Manufacturing,1085610
466,2010,335000,"Electrical Equipment, Appliance, and Component Manufacturing",354710
467,2010,336000,Transportation Equipment Manufacturing,1329370
468,2010,337000,Furniture and Related Product Manufacturing,361960
469,2010,339000,Miscellaneous Manufacturing,570050
470,2010,423000,"Merchant Wholesalers, Durable Goods",2715310
471,2010,424000,"Merchant Wholesalers, Nondurable Goods",1953670
472,2010,425000,Wholesale Electronic Markets and Agents and Brokers,795510
473,2010,441000,Motor Vehicle and Parts Dealers,1624220
474,2010,442000,Furniture and Home Furnishings Stores,444580
475,2010,443000,Electronics and Appliance Stores,501110
476,2010,444000,Building Material and Garden Equipment and Supplies Dealers,1169220
477,2010,445000,Food and Beverage Stores,2823910
478,2010,446000,Health and Personal Care Stores,985440
479,2010,447000,Gasoline Stations,820940
480,2010,448000,Clothing and Clothing Accessories Stores,1396550
481,2010,451000,"Sporting Goods, Hobby, Book, and Music Stores",620110
482,2010,452000,General Merchandise Stores,3038350
483,2010,453000,Miscellaneous Store Retailers,780070
484,2010,454000,Nonstore Retailers,417540
485,2010,481000,Air Transportation,451000
486,2010,482000,Rail Transportation,226860
487,2010,483000,Water Transportation,59220
488,2010,484000,Truck Transportation,1243980
489,2010,485000,Transit and Ground Passenger Transportation,437450
490,2010,486000,Pipeline Transportation,42040
491,2010,487000,Scenic and Sightseeing Transportation,25730
492,2010,488000,Support Activities for Transportation,538320
493,2010,491000,Postal Service,673680
494,2010,492000,Couriers and Messengers,521960
495,2010,493000,Warehousing and Storage,639150
496,2010,511000,Publishing Industries (except Internet),758090
497,2010,512000,Motion Picture and Sound Recording Industries,371450
498,2010,515000,Broadcasting (except Internet),292010
499,2010,517000,Telecommunications,909780
500,2010,518000,"Data Processing, Hosting and Related Services",239850
501,2010,519000,Other Information Services,137570
502,2010,521000,Monetary Authorities-Central Bank,19430
503,2010,522000,Credit Intermediation and Related Activities,2544340
504,2010,523000,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",798310
505,2010,524000,Insurance Carriers and Related Activities,2060870
506,2010,525000,"Funds, Trusts, and Other Financial Vehicles",81970
507,2010,531000,Real Estate,1383780
508,2010,532000,Rental and Leasing Services,517440
509,2010,533000,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),24730
510,2010,541000,"Professional, Scientific, and Technical Services",7385950
511,2010,551000,Management of Companies and Enterprises,1906290
512,2010,561000,Administrative and Support Services,7033570
513,2010,562000,Waste Management and Remediation Services,353570
514,2010,611000,Educational Services,12826190
515,2010,621000,Ambulatory Health Care Services,5944930
516,2010,622000,Hospitals,5616070
517,2010,623000,Nursing and Residential Care Facilities,3122980
518,2010,624000,Social Assistance,2475260
519,2010,711000,"Performing Arts, Spectator Sports, and Related Industries",403940
520,2010,712000,"Museums, Historical Sites, and Similar Institutions",128180
521,2010,713000,"Amusement, Gambling, and Recreation Industries",1356510
522,2010,721000,Accommodation,1727470
523,2010,722000,Food Services and Drinking Places,9376990
524,2010,811000,Repair and Maintenance,1137690
525,2010,812000,Personal and Laundry Services,1278110
526,2010,813000,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1309830
527,2010,999000,"Federal, State, and Local Government (OES Designation)",9926230
528,2009,113000,Forestry and Logging,50640
529,2009,115000,Support Activities for Agriculture and Forestry,331260
530,2009,211000,Oil and Gas Extraction,159750
531,2009,212000,Mining (except Oil and Gas),217980
532,2009,213000,Support Activities for Mining,306140
533,2009,221000,Utilities,558640
534,2009,236000,Construction of Buildings,1462090
535,2009,237000,Heavy and Civil Engineering Construction,921850
536,2009,238000,Specialty Trade Contractors,4113930
537,2009,311000,Food Manufacturing,1456900
538,2009,312000,Beverage and Tobacco Product Manufacturing,188670
539,2009,313000,Textile Mills,131690
540,2009,314000,Textile Product Mills,135080
541,2009,315000,Apparel Manufacturing,180780
542,2009,316000,Leather and Allied Product Manufacturing,30380
543,2009,321000,Wood Product Manufacturing,393280
544,2009,322000,Paper Manufacturing,418030
545,2009,323000,Printing and Related Support Activities,552190
546,2009,324000,Petroleum and Coal Products Manufacturing,114980
547,2009,325000,Chemical Manufacturing,816220
548,2009,326000,Plastics and Rubber Products Manufacturing,664300
549,2009,327000,Nonmetallic Mineral Product Manufacturing,421570
550,2009,331000,Primary Metal Manufacturing,396130
551,2009,332000,Fabricated Metal Product Manufacturing,1407870
552,2009,333000,Machinery Manufacturing,1093950
553,2009,334000,Computer and Electronic Product Manufacturing,1180650
